HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10	ICD10_UKBB
HPO_ICD:779	HP:0003762	Uterus didelphys	Double uterus	Q5110;Q512;Q5111	Q511;Q512
HPO_ICD:780	HP:0000749;HP:0000719;HP:0000734;HP:0002375;HP:0000748;HP:0003763	Inappropriate laughter; Inappropriate behavior; Disinhibition; Paroxysmal bursts of laughter; Bruxism; Hypokinesia	Inappropriate laughter; Teeth grinding; Inappropriate behavior; Disinhibition; Decreased spontaneous movement; Decreased muscle movement; Decreased spontaneous movements; Paroxysmal laughter	R4689;F458	R468;F458
HPO_ICD:781	HP:0003765	Psoriasiform dermatitis	Psoriasis	L409	L409
HPO_ICD:782	HP:0003771	Pulp stones	Pulp calcifications; False denticles; Pulp denticles; True pulp stones; True denticles; Pulp stones; False pulp stones	K042	K042
HPO_ICD:783	HP:0003774	Stage 5 chronic kidney disease	End-stage renal disease; End stage renal failure; Stage 5 chronic kidney disease; Chronic renal failure; End stage renal disease; End-stage renal failure; Renal failure, endstage	N186;N185	N185
HPO_ICD:784	HP:0003811	Neonatal death	Neonatal lethal	P9689;R99	P968;R99
HPO_ICD:785	HP:0003826	Stillbirth	Stillbirth; Stillborn; Fetal death	P95	P95
HPO_ICD:786	HP:0011847;HP:0003942	Synovial chondromatosis of the elbow; Giant cell tumor of bone		D480	D480
HPO_ICD:787	HP:0001172;HP:0004097	Abnormal thumb morphology; Deviation of finger	Abnormality of the thumbs; Deviated fingers; Thumb deformity; Atypical position of finger; Abnormality of the thumb; Finger pointing in a different direction than usual	M20002;M20001;M20009	
HPO_ICD:788	HP:0004320	Vaginal fistula		N828	N828
HPO_ICD:789	HP:0004321	Bladder fistula		N322	N322
HPO_ICD:790	HP:0004324	Increased body weight	Increased body weight; Weight gain	R635	R635
HPO_ICD:791	HP:0001824;HP:0004325	Weight loss; Decreased body weight	Low weight; Low body weight; Weight less than 3rd percentile; Decreased weight; Decreased body weight	R636;R634	R636;R634
HPO_ICD:792	HP:0004326	Cachexia	Wasting syndrome	R64	R64
HPO_ICD:793	HP:0004438;HP:0004330	Hyperostosis frontalis interna; Increased skull ossification	Increased calcification of skull; Hyperossification of skull; Overgrowth of the inside of the frontal bone; Thick inner surface of the frontal bone; Hyperostosis of skull; Thick internal surface of the frontal bone; Sclerosis of bones of skull; Overgrowth of the inner surface of the frontal bone; Hypertrophy of the internal surface of the frontal bone; Excessive growth of inner surface of the frontal bone; Sclerosis of skull; Hyperostosis of the internal surface of the frontal bone; Increased Mineralization of skull; Increased ossification of the internal surface of the frontal bone; Enlargement of the inner surface of the frontal bone	M852	
HPO_ICD:794	HP:0004334	Dermal atrophy	Skin atrophy; Atrophic skin; Skin degeneration	L909	L909
HPO_ICD:795	HP:0004372	Reduced consciousness/confusion	Reduced consciousness/confusion; Lowered consciousness; Disturbances of consciousness	R4182	R418
HPO_ICD:796	HP:0004381	Supravalvular aortic stenosis		Q253	Q253
HPO_ICD:797	HP:0004383	Hypoplastic left heart	Heart left ventricle hypoplasia; Underdeveloped left heart; Left ventricular hypoplasia	Q234	Q234
HPO_ICD:798	HP:0004389	Intestinal pseudo-obstruction	Intestinal pseudoobstruction	K598	K598
HPO_ICD:799	HP:0004392	Prune belly	Prune belly	Q7951;Q794	Q795;Q794
HPO_ICD:800	HP:0004394;HP:0004783;HP:0004795	Duodenal polyposis; Multiple gastric polyps; Hamartomatous stomach polyps	Multiple duodenal polyps	K317	K317
HPO_ICD:801	HP:0004395	Malnutrition	Malnutrition	E639;E649;E619;E46	E639;E649;E619;E46
HPO_ICD:802	HP:0010676;HP:0004401	Meconium ileus; Mechanical ileus	Distal intestinal obstruction syndrome; Meconium ileus in neonates; Meconium ileus on ultrasonography	K56699;P760	P760
HPO_ICD:803	HP:0004404	Abnormal nipple morphology	Abnormality of the nipple	N649	N649
HPO_ICD:804	HP:0004409	Hyposmia	Loss of smell; Decreased smell sensation; Sense of smell impaired	R439	
HPO_ICD:805	HP:0004411	Deviated nasal septum	Deviated septum of nose; Deviated nasal septum; Crooked nasal septum; Crooked septum of nose	J342	J342
HPO_ICD:806	HP:0004971;HP:0004960;HP:0011661;HP:0004414;HP:0005143	Pulmonary artery hypoplasia; Absent pulmonary artery; Anomalous origin of left pulmonary artery from ascending aorta; Abnormality of the pulmonary artery; Anomalous origin of right pulmonary artery from ascending aorta	Underdeveloped lung artery; Abnormality of lung artery; Missing pulmonary artery; Underdeveloped pulmonary artery; Absent lung artery	Q2579	Q257
HPO_ICD:807	HP:0004969;HP:0004415	Peripheral pulmonary artery stenosis; Pulmonary artery stenosis	Narrowing of lung artery; Narrowing of peripheral lung artery; peripheral pulmonary stenosis; Peripheral pulmonic stenosis	Q256	Q256
HPO_ICD:808	HP:0004429	Recurrent viral infections		B349	B349
HPO_ICD:809	HP:0004459	Exostosis of the external auditory canal	External auditory canal exostoses	H61811;H61812;H61819;H61813	
HPO_ICD:810	HP:0004464	Postauricular pit	Posterior auricular sinus; Postauricular earpits; Pit behind the ear; Posterior auricular pit; Postauricular fistula	H70811;H70813;H70819;H70812	
HPO_ICD:811	HP:0004467	Preauricular pit	Preauricular earpits; Preauricular pits; Preauricular fistulas; Pit in front of the ear; Ear pit; Preauricular sinus	Q181	Q181
HPO_ICD:812	HP:0004469	Chronic bronchitis		J42	J42
HPO_ICD:813	HP:0100837;HP:0004535	Anterior cervical hypertrichosis; Atrophodermia vermiculata	Vermiculata atrophoderma; Congenital cervical hypertrichosis; Hypertrichosis, congenital anterior cervical	Q842	Q842
HPO_ICD:814	HP:0004610	Lumbar spinal canal stenosis	Narrow lumbar spinal canal; Lumbar spinal stenosis	M48061	M4806
HPO_ICD:815	HP:0004684	Talipes valgus		Q666	Q666
HPO_ICD:816	HP:0004749;HP:0031671	Atrial flutter; Typical atrial flutter		I4892;I483;I484;I481	I489;I484;I483;I481
HPO_ICD:817	HP:0004751;HP:0004756;HP:0001664	Paroxysmal ventricular tachycardia; Ventricular tachycardia; Torsade de pointes	Episodes of ventricular tachycardia; Torsades de pointes	I470;I472	I470;I472
HPO_ICD:818	HP:0004752;HP:0011709	Atrioventricular dissociation; Congenital atrioventricular dissociation		I4589	I458
HPO_ICD:819	HP:0004754	Permanent atrial fibrillation	Chronic atrial fibrillation	I482;I481	I482;I481
HPO_ICD:820	HP:0011716;HP:0011701;HP:0004755;HP:0006671;HP:0040182;HP:0011690;HP:0004763	Supraventricular tachycardia; Paroxysmal supraventricular tachycardia; Inappropriate sinus tachycardia; Permanent junctional reciprocating tachycardia; Multifocal atrial tachycardia; Junctional ectopic tachycardia; Paroxysmal atrial tachycardia	Episodic rapid heart beat; Ectopic atrial tachycardia; SVT; Episodic supraventricular tachycardia; Supraventricular tachyarrhythmia; Chaotic atrial tachycardia	I471;I492	I471;I492
HPO_ICD:821	HP:0004764	Myxomatous mitral valve degeneration		I348	I348
HPO_ICD:822	HP:0006562;HP:0004787	Fulminant hepatitis; Viral hepatitis		B199	B199
HPO_ICD:823	HP:0002630;HP:0002243;HP:0001984;HP:0012537;HP:0004789	Food intolerance; Fat malabsorption; Lactose intolerance; Protein-losing enteropathy; Intolerance to protein	Milk intolerance; Non-allergic food hypersensitivity; Food intolerance; Lactose intolerance	E739;K9049	K904;E739
HPO_ICD:824	HP:0004791	Esophageal ulceration	Oesophagus ulceration; Esophagus ulcer	K2210	K221
HPO_ICD:825	HP:0004798	Recurrent infection of the gastrointestinal tract	Gastrointestinal infections; Recurrent gastrointestinal infections; Gastrointestinal infections, recurrent; Recurrent infection of the GI tract; Recurrent infection of the gastrointestinal tract	A09	
HPO_ICD:826	HP:0006733;HP:0004808	Acute myeloid leukemia; Acute megakaryocytic leukemia	Acute myelogenous leukemia; Acute myelocytic leukemia; Acute myeloblastic leukemia; AMegL; AML	C9200	C920
HPO_ICD:827	HP:0004809	Neonatal alloimmune thrombocytopenia		P610	P610
HPO_ICD:828	HP:0004813	Post-transfusion thrombocytopenia	Post-transfusion purpura	D6951	D695
HPO_ICD:829	HP:0004818	Paroxysmal nocturnal hemoglobinuria	Paroxysmal nocturnal haemoglobinuria	D595	D595
HPO_ICD:830	HP:0004820	Acute myelomonocytic leukemia		C9250	C925
HPO_ICD:831	HP:0004828	Refractory anemia with ringed sideroblasts	Myelodysplasia with sideroblastosis	D461	D461
HPO_ICD:832	HP:0004836	Acute promyelocytic leukemia		C9240	C924
HPO_ICD:833	HP:0004850	Recurrent deep vein thrombosis	Recurrent venous thrombosis; Recurrent deep vein blood clot	I82509	
HPO_ICD:834	HP:0004871;HP:0010480	Perineal fistula; Urethral fistula		N360	N360
HPO_ICD:835	HP:0004872	Incisional hernia	Recurrent abdominal hernia	K432	K432
HPO_ICD:836	HP:0004886	Congenital laryngeal stridor		P2889	P288
HPO_ICD:837	HP:0004904	Maturity-onset diabetes of the young	MODY; Maturity onset diabetes of the young	E139	E139
HPO_ICD:838	HP:0004905	Low levels of vitamin A	Vitamin A deficiency	E509;E641	E509;E641
HPO_ICD:839	HP:0004927;HP:0004937	Pulmonary artery aneurysm; Pulmonary artery dilatation		I281	I281
HPO_ICD:840	HP:0004934	Vascular calcification		I998	I99
HPO_ICD:841	HP:0004935	Pulmonary artery atresia	Pulmonary atresia	Q255	Q255
HPO_ICD:842	HP:0004936	Venous thrombosis	Blood clot in vein	I8290	I829
HPO_ICD:843	HP:0004942	Aortic aneurysm	Bulge in wall of large artery that carries blood away from heart; Aortic dilatation	I719	I719
HPO_ICD:844	HP:0030713;HP:0004944	Vein of Galen aneurysmal malformation; Dilatation of the cerebral artery	Vein of Galen aneurysm; Median prosencephalic arteriovenous fistula; Vein of Galen malformation; Cerebral aneurysm; Cerebral artery aneurysm; Brain aneurysm; Intracranial aneurysm	I671	I671
HPO_ICD:845	HP:0004947	Arteriovenous fistula	Arteriovenous fistulas	I770	I770
HPO_ICD:846	HP:0004952	Pulmonary arteriovenous fistulas		I280	I280
HPO_ICD:847	HP:0005001	Recurrent patellar dislocation	Recurrent dislocation of patellas	M2200	M220
HPO_ICD:848	HP:0005086	Knee osteoarthritis		M179	M179
HPO_ICD:849	HP:0004757;HP:0005110	Paroxysmal atrial fibrillation; Atrial fibrillation	Atrial fibrillation, paroxysmal; Quivering upper heart chambers resulting in irregular heartbeat	I480;I482;I4891	I480;I489;I482
HPO_ICD:850	HP:0010772;HP:0005160;HP:0011626;HP:0011666	Total anomalous pulmonary venous return; Scimitar anomaly; Absent right superior vena cava; Anomalous pulmonary venous return	Pulmonary venolobar syndrome; Scimitar syndrome; Total anomalous pulmonary venous connection; Total anomalous pulmonary venous drainage	Q262;Q268	Q268;Q262
HPO_ICD:851	HP:0005162	Left ventricular dysfunction	Left-sided heart failure; Left ventricular failure; Left ventricular impairment; Impaired left ventricular function	R9439;I501	R943;I501
HPO_ICD:852	HP:0005172	Left posterior fascicular block	Left posterior hemiblock	I445	I445
HPO_ICD:853	HP:0005180	Tricuspid regurgitation	Tricuspid insufficiency; Tricuspid valve regurgitation	I071	I071
HPO_ICD:854	HP:0005182	Bicuspid pulmonary valve		Q223	Q223
HPO_ICD:855	HP:0005186	Synovial hypertrophy		M6720	M672
HPO_ICD:856	HP:0005203	Spontaneous esophageal perforation	Spontaneous esophageal rupture; Boerhaave syndrome	K223	K223
HPO_ICD:857	HP:0005206	Pancreatic pseudocyst		K863	K863
HPO_ICD:858	HP:0005209	Intrahepatic bile duct cysts		K835	K835
HPO_ICD:859	HP:0005214	Intestinal obstruction	Intestinal blockage; Intestinal obstruction; Bowel obstruction	K50012;K50812;K56609;K50112;K50912	
HPO_ICD:860	HP:0011968;HP:0005216	Feeding difficulties; Impaired mastication	Chewing difficulties; Chewing difficulty; Feeding difficulties; Difficulty chewing; Poor feeding; Feeding problems	R633	R633
HPO_ICD:861	HP:0005224	Rectal abscess	Perirectal abscess	K611	K611
HPO_ICD:862	HP:0005231	Chronic gastritis		K2950	K295
HPO_ICD:863	HP:0005235;HP:0011100	Jejunal atresia; Intestinal atresia		Q411	Q411
HPO_ICD:864	HP:0005242;HP:0005912	Biliary atresia; Extrahepatic biliary duct atresia	Biliary atresia, extrahepatic; Biliary duct atresia	Q443;Q442	Q443;Q442
HPO_ICD:865	HP:0005246	Giant hypertrophic gastritis	Menetrier disease	K319;K2960	K319;K296
HPO_ICD:866	HP:0005261	Joint hemorrhage	Hemarthrosis; Hemarthroses; Bleeding within a joint; Joint haemorrhage; Spontaneous joint hemorrhage	M2500	M2500
HPO_ICD:867	HP:0005263	Gastritis	Stomach inflammation	K2970	K297
HPO_ICD:868	HP:0005264	Abnormality of the gallbladder	Anomaly of the gallbladder; Abnormality of the gallbladder	Q441	Q441
HPO_ICD:869	HP:0005266;HP:0200063	Colorectal polyposis; Intestinal polyp	Intestinal polyps; Colorectal polyps	K635	K635
HPO_ICD:870	HP:0005293	Venous insufficiency	Poorly functioning veins	I879;I872	I879;I872
HPO_ICD:871	HP:0005294	Arterial dissection		I7770	
HPO_ICD:872	HP:0005301	Persistent left superior vena cava	PLSVC	Q261	Q261
HPO_ICD:873	HP:0005302	Carotid artery tortuosity	Tortuous carotid arteries	I7789	I778
HPO_ICD:874	HP:0005305	Cerebral venous thrombosis	Cerebral vein thrombosis; Cerebral thrombosis; Blood clot in cerebral vein	I676	I676
HPO_ICD:875	HP:0005313	Arterial fibromuscular dysplasia		I773	I773
HPO_ICD:876	HP:0005318	Cerebral vasculitis		I677	I677
HPO_ICD:877	HP:0005506	Chronic myelogenous leukemia	Chronic myeloid leukemia; Chronic myelocytic leukemia	C92Z0	
HPO_ICD:878	HP:0005508	Monoclonal immunoglobulin M proteinemia	Waldenstrom macroglobulinemia	C880	C880
HPO_ICD:879	HP:0005521	Disseminated intravascular coagulation		D65	D65
HPO_ICD:880	HP:0005523	Lymphoproliferative disorder	Lymphoproliferative disorders	D479	D479
HPO_ICD:881	HP:0005547	Myeloproliferative disorder		D471	D471
HPO_ICD:882	HP:0005539;HP:0005550;HP:0005526	T cell chronic lymphocytic lymphoma/leukemia; Lymphoid leukemia; Chronic lymphatic leukemia	Chronic lymphocytic leukemia	C9190;C9110	C919;C911
HPO_ICD:883	HP:0005558	Chronic leukemia	Chronic blood cancer	C9510	C951
HPO_ICD:884	HP:0005575	Hemolytic-uremic syndrome	Hemolytic uremic syndrome	D593	D593
HPO_ICD:885	HP:0030409;HP:0005584;HP:0008663;HP:0006766	Renal transitional cell carcinoma; Renal sarcoma; Renal cell carcinoma; Papillary renal cell carcinoma	Cancer starting in small tubes in kidneys; Renal carcinoma; Renal urothelial carcinoma; Hypernephroma; renal TCC; Transitional renal cell carcinoma	C649	C64
HPO_ICD:886	HP:0007418;HP:0005597	Congenital alopecia totalis; Alopecia totalis	Total alopecia	L630	L630
HPO_ICD:887	HP:0012702;HP:0005609	Gallbladder dysfunction; Tenesmus	Gallbladder dysfunction	R198	R198
HPO_ICD:888	HP:0005616;HP:0010588	Premature epimetaphyseal fusion; Accelerated skeletal maturation	Premature closure of epiphyses; Early bone maturation; Advanced bone age	M8920	M8920
HPO_ICD:889	HP:0005661	Salmonella osteomyelitis	Salmonella bone infection	A0224	A022
HPO_ICD:890	HP:0005679	Dupuytren contracture		M720	
HPO_ICD:891	HP:0005681	Juvenile rheumatoid arthritis	Juvenile RA; Juvenile idiopathic arthritis; Rheumatoid arthritis, juvenile	M0800	M0800
HPO_ICD:892	HP:0005743	Avascular necrosis of the capital femoral epiphysis	Osteonecrosis of the femoral head; Legg-Calve-Perthes syndrome; Coxa plana; Legg-Perthes disease; Osteochondrosis of the femoral head; Perthes-like femoral head changes; Morbus Legg-Calve-Perthes	M9120;M87859	M9120;M8785
HPO_ICD:893	HP:0005764	Polyarticular arthritis		M064;M130	
HPO_ICD:894	HP:0007293;HP:0005765	Anterior sacral meningocele; Sacral meningocele		Q058	Q058
HPO_ICD:895	HP:0005881;HP:0008462	Spinal instability; Cervical instability		M532X9	
HPO_ICD:896	HP:0005942	Desquamative interstitial pneumonitis		J84117;J84115	
HPO_ICD:897	HP:0005943;HP:0006543	Respiratory arrest; Cardiorespiratory arrest	Breathing cessation	R092	R092
HPO_ICD:898	HP:0005950	Laryngeal web	Partial laryngeal atresia; Laryngeal webs	Q310	Q310
HPO_ICD:899	HP:0005978;HP:0008205	Insulin-dependent but ketosis-resistant diabetes; Type II diabetes mellitus	Type II diabetes; Diabetes mellitus type 2; NIDDM; Noninsulin-dependent diabetes; Diabetes mellitus Type II; Noninsulin-dependent diabetes mellitus; Diabetes mellitus, noninsulin-dependent; NIDDM diabetes mellitus; Noninsulin dependent diabetes mellitus; Non-insulin dependent diabetes; Type 2 diabetes	E119	E119
HPO_ICD:900	HP:0005988	Congenital muscular torticollis	Torticollis, congenital	Q680	Q680
HPO_ICD:901	HP:0005999	Ureteral atresia		Q6210	Q621
HPO_ICD:902	HP:0006094	Finger joint hypermobility	Increased mobility in finger joint	M25349	M2534
HPO_ICD:903	HP:0001233;HP:0006101	Finger syndactyly; 2-3 finger syndactyly	Partial syndactyly; Webbed 2nd-3rd fingers; Syndactyly, 2-3 finger; Syndactyly 2nd-3rd fingers	Q7013;Q7010;Q7011;Q7012	Q701
HPO_ICD:904	HP:0006226	Osteoarthritis of the first carpometacarpal joint		M189	M189
HPO_ICD:905	HP:0006233;HP:0012313	Heberden's node; Osteoarthritis of the distal interphalangeal joint		M151	M151
HPO_ICD:906	HP:0006254	Elevated alpha-fetoprotein	Serum alpha-fetoprotein increased; Increased levels of alpha fetoprotein; Increased serum alpha-fetoprotein; Alpha fetoprotein abnormal	R772	R772
HPO_ICD:907	HP:0006280;HP:0100027	Chronic pancreatitis; Recurrent pancreatitis	Recurring pancreas inflammation; Recurring pancreatitis; Chronic pancreas inflammation	K861;K860	K861;K860
HPO_ICD:908	HP:0006292;HP:0000684;HP:0006335;HP:0001571;HP:0006288;HP:0011079;HP:0000695;HP:0000706	Multiple impacted teeth; Natal tooth; Delayed eruption of teeth; Persistence of primary teeth; Abnormality of dental eruption; Impacted tooth; Unerupted tooth; Advanced eruption of teeth	Multiple impacted teeth; Failure to exfoliate primary teeth; Delayed dental eruption; Deciduous teeth retention; Premature eruption of teeth; Delayed eruption of teeth; Disorder of tooth eruption; Retained primary teeth; Pseudo-anodontia; Buried tooth; Late tooth eruption; Failure to exfoliate deciduous teeth; Persistent deciduous dentition; Delayed tooth eruption; Persistent primary dentition; Premature dental eruption; Teeth present at birth; Anomaly of tooth eruption; Persistent primary teeth; Abnormal dental eruption; Delayed teeth eruption; Eruption, delayed; Advanced dental eruption; Impacted tooth; Impacted teeth; Delayed dental development; Pseudoanodontia; Disturbance of dental eruption; Natal teeth; Unerupted dentition; Disorder of dental eruption; Unerupted tooth; Retained deciduous teeth; Failure to lose baby teeth; Retained baby teeth; Disturbance of tooth eruption; Persistence of deciduous teeth; Late eruption of teeth; Multiple retained teeth; Eruption, advanced; Early dental eruption; Delayed eruption; Neonatal teeth; Delayed loss of baby teeth; Abnormality of tooth eruption; Premature tooth eruption; Anomaly of dental eruption; Failure of eruption of tooth; Multiple buried teeth; Retained tooth; Delayed loss of deciduous teeth; Delayed loss of primary teeth; Born with teeth; Early eruption of teeth	K011;K010;K006	K011;K010;K006
HPO_ICD:909	HP:0006297	Hypoplasia of dental enamel	Hypoplasia of tooth enamel; Dental enamel hypoplasia; Underdeveloped teeth enamel; Enamel hypoplasia; Dysplasia of tooth enamel; Thin tooth enamel; Thin dental enamel; Defective enamel matrix; Enamel dysplasia	K004	K004
HPO_ICD:910	HP:0006315;HP:0006483	Abnormal number of teeth; Single median maxillary incisor	Solitary midline maxillary central incisor; Single central upper incisor; Single central incisor; Solitary median maxillary central incisor; Solitary median maxillary central incisor syndrome; Abnormal tooth count; Single midline maxillary incisor; Abnormal number of teeth; Single maxillary central incisor; Single median maxillary central incisor; Single midline upper front tooth; Single median incisor; Only one upper front tooth; Abnormal complement of teeth	K008	K008
HPO_ICD:911	HP:0006480;HP:0006323	Premature loss of teeth; Premature loss of primary teeth	Early loss of deciduous teeth; Premature deciduous tooth loss; Premature loss of deciduous teeth; Early tooth loss; Loss of teeth; Premature tooth loss; Premature exfoliation of primary teeth; Premature exfoliation of deciduous teeth; Premature teeth loss; Premature exfoliation of teeth; Early loss of primary teeth; Premature loss of baby teeth; Early loss of baby teeth	K08109	
HPO_ICD:912	HP:0006329;HP:0010289	Alveolar process hypoplasia; Cleft of alveolar ridge of maxilla	Deficiency of alveolar process of jaw; Hypoplastic alveolar bone; Underdevelopment of alveolar process of jaw; Decreased size of alveolar ridge; Underdevelopment of alveolar ridge; Small alveolar process of jaw; Notch of alveolar ridge; Notch of alveolar process; Small alveolar ridge; Decreased size of alveolar process of jaw; Hypotrophic alveolar ridge; Deficiency of alveolar ridge; Hypotrophic alveolar process of jaw; Cleft of gum ridge; Alveolar ridge cleft; Cleft of alveolar process; Hypoplasia of alveolar ridge; Notch of gum ridge	M2679	
HPO_ICD:913	HP:0009816;HP:0006385	Short lower limbs; Lower limb undergrowth	Short lower limbs; Lower limb undergrowth; Underdeveloped lower limb bones; Hypoplasia involving bones of the lower limbs; Short legs; Hypoplasia of the lower limbs	Q7290	Q729
HPO_ICD:914	HP:0006443;HP:0010498	Patellar aplasia; Bipartite patella	Absent patellae; Aplastic patellae; Absent patellas; Absent kneecap; Absent patella	Q741	Q741
HPO_ICD:915	HP:0006477	Abnormality of the alveolar ridges	Defect in alveolar ridge; Abnormality of dentoalveolar ridges; Abnormality of gum ridge; Abnormality of alveolar processes of jaw; Abnormality of alveolar margin	K089	K089
HPO_ICD:916	HP:0006510	Chronic obstructive pulmonary disease	COPD	J449	J449
HPO_ICD:917	HP:0006511	Laryngeal stridor	Laryngeal stidor	J385	J385
HPO_ICD:918	HP:0006515;HP:0006530	Interstitial pneumonitis; Interstitial pulmonary abnormality	Abnormality in area between air sacs in lung; Interstitial pulmonary disease; Interstitial lung disease	J8489;J849	J849;J848
HPO_ICD:919	HP:0006516	Hypersensitivity pneumonitis		J679	J679
HPO_ICD:920	HP:0006517	Alveolar proteinosis		J8401	J840
HPO_ICD:921	HP:0006518	Pulmonary venous occlusion	Pulmonary venous stenosis; Pulmonary venoocclusive disease; Pulmonary venous occlusion	I2729	I272
HPO_ICD:922	HP:0006527	Lymphoid interstitial pneumonia	Lymphoid interstitial pneumonitis	J842	
HPO_ICD:923	HP:0006548	Pulmonary arteriovenous malformation	Pulmonary av malformation	Q2572	Q257
HPO_ICD:924	HP:0006706;HP:0006557	Polycystic liver disease; Cystic liver disease		Q446	Q446
HPO_ICD:925	HP:0006574	Hepatic arteriovenous malformation	Liver arteriovenous malformation	Q2733	Q273
HPO_ICD:926	HP:0000890;HP:0000916;HP:0006585	Long clavicles; Broad clavicles; Congenital pseudoarthrosis of the clavicle	Pseudoarthrosis of clavicle; Elongated clavicles; Broad collarbone; Long collarbone; Bipartite clavicle; Clavicle pseudoarthrosis	M898X8;M898X1	
HPO_ICD:927	HP:0006696;HP:0006682	Polymorphic and polytopic ventricular extrasystoles; Ventricular extrasystoles	Extra heart beat; Premature ventricular contractions; Skipped heartbeat; Missed heartbeat	I493	I493
HPO_ICD:928	HP:0006685	Endocardial fibrosis	Endomyocardial fibrosis	I423	I423
HPO_ICD:929	HP:0006688	Paroxysmal tachycardia		I479	I479
HPO_ICD:930	HP:0006689	Bacterial endocarditis	Infective endocarditis	I330	I330
HPO_ICD:931	HP:0006698	Dilatation of the ventricular cavity	Ventricular aneurysm	I253	I253
HPO_ICD:932	HP:0006699	Premature atrial contractions	Premature supraventricular beats; PACs; Ectopic supraventricular rhythms; Atrial ectopic beats; Atrial premature complex	I491	I491
HPO_ICD:933	HP:0006702	Coronary artery dissection		I2542	I254
HPO_ICD:934	HP:0011686;HP:0011638;HP:0011639;HP:0006704;HP:0011644	Anomalous origin of left coronary artery from the pulmonary artery; Abnormal coronary artery course; Abnormal coronary artery morphology; Anomalous origin of right coronary artery from the pulmonary artery; Coronary sinus diverticulum	Bland-Garland-White syndrome; Diverticulum of the coronary sinus; Anomalous left coronary artery from the pulmonary artery; ALCAPA; Anomalous coronary artery course	Q245	Q245
HPO_ICD:935	HP:0030410;HP:0006717	Sebaceous gland carcinoma; Peripheral neuroepithelioma	Sebaceous carcinoma	C4499	C449
HPO_ICD:936	HP:0006719	Benign gastrointestinal tract tumors	Benign GI tract tumors; Non-cancerous GI tumors	D139	D139
HPO_ICD:937	HP:0006735	Renal cortical adenoma	Kidney cortical adenoma	D3000	D300
HPO_ICD:938	HP:0006739	Squamous cell carcinoma of the skin	Squamous skin carcinoma	C4492	C449
HPO_ICD:939	HP:0006744	Adrenocortical carcinoma	Adrenal gland carinoma; Adrenal carcinoma	C7400	C740
HPO_ICD:940	HP:0006765	Chondrosarcoma		C419	C419
HPO_ICD:941	HP:0006772	Renal angiomyolipoma	Kidney angiomyolipoma; Angiomyolipoma	D1771	D177
HPO_ICD:942	HP:0011857;HP:0006775	Plasmacytoma; Multiple myeloma	Plasmocytoma; Kahler's disease	C9000;C9030	C903;C900
HPO_ICD:943	HP:0006780	Parathyroid carcinoma	Parathyroid Cancer	C750	C750
HPO_ICD:944	HP:0006824	Cranial nerve paralysis	Cranial nerve palsies; Cranial nerve palsy; Cranial nerve paresis	G529	G529
HPO_ICD:945	HP:0006889	Intellectual disability, borderline	Mental retardation, borderline; Intellectual disability, borderline	R4183	R418
HPO_ICD:946	HP:0011349;HP:0006897	Cranial nerve VI palsy; Abducens palsy	Abducens nerve palsy; Abducens nerve paresis; Lateral rectus muscle denervation paresis; Abducens nerve paralysis; Sixth nerve palsy	H4920	H492
HPO_ICD:947	HP:0006918	Diffuse cerebral sclerosis		G375;G370	G370;G375
HPO_ICD:948	HP:0006934	Congenital nystagmus	Nystagmus, congenital	H5501	
HPO_ICD:949	HP:0006970	Periventricular leukomalacia		P912	P912
HPO_ICD:950	HP:0007011	Fourth cranial nerve palsy	Trochlear nerve palsy	H4913;H4912;H4910;H4911	H491
HPO_ICD:951	HP:0007018	Attention deficit hyperactivity disorder	Attention deficit; Attention deficit-hyperactivity disorder; Attention deficits; Attention deficit disorder; Childhood attention deficit/hyperactivity disorder	F902;F908;F900;F909;F901	F909;F908;F900;F901
HPO_ICD:952	HP:0007021	Pain insensitivity	Absence of pain sensation	R200	R200
HPO_ICD:953	HP:0007041	Chronic lymphocytic meningitis		A872	A872
HPO_ICD:954	HP:0007108	Demyelinating peripheral neuropathy		G6289	G628
HPO_ICD:955	HP:0007185;HP:0001279;HP:0012668	Loss of consciousness; Vasovagal syncope; Syncope	Fainting spell; Neurocardiogenic syncope; Situational syncope; Loss of consciousness; Reflex syncope; Passing out	R4020;R55	R55;R402
HPO_ICD:956	HP:0007209;HP:0010628;HP:0430025	Facial palsy; Bilateral facial palsy; Facial paralysis	Cranial nerve VII palsy; Facial nerve palsy; Facial paralysis; Facial paresis; Facial nerve paralysis; Seventh cranial nerve palsy; Facial muscle weakness of muscles innervated by CN VII; Paralysis of both sides of the face; Bilateral facial muscle weakness; VII th cranial nerve palsy; Bilateral facial paralysis; Bell's palsy; Facial palsy, unilateral or bilateral; Bilateral facial muscle paralysis; Weakness of both sides of the face	I69292;I69192;I69392;R29810;I69892;I69992;I69092	
HPO_ICD:957	HP:0007302	Bipolar affective disorder	Bipolar disorder	F319	F319
HPO_ICD:958	HP:0007340	Lower limb muscle weakness	Lower limb muscle weakness; Leg weakness; Muscle weakness in lower limbs; Lower limb weakness; Lower extremity weakness	G8310	G831
HPO_ICD:959	HP:0007406	Hyperpigmentation of eyelids	Dark eyelids; Pigmentation of eyelids; Brown eyelids	H02719;H02714;H02711;H02713;H02716;H02712;H02715	
